"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.77702306835219e-07,2.69776134845332,0.748,0.093,0.00896561897617504,"17","Ifi209"
2.84934303623775e-07,0.417252985561223,0.473,0.104,0.00919910399249358,"17","Arhgap19"
2.92195322555305e-07,3.05691035804,0.535,0.077,0.00943352598869802,"17","Mastl"
2.93922660331442e-07,1.44748963065121,0.645,0.261,0.00948929308880059,"17","Ak6"
2.98707657565439e-07,0.896996697143308,0.967,0.754,0.0096437767245002,"17","Smc1a"
3.11311721932853e-07,0.882487073347928,0.868,0.578,0.0100506989426021,"17","Ndufc1"
3.1457765086193e-07,1.80541500330675,0.692,0.256,0.0101561394580774,"17","Nde1"
3.3573173302313e-07,1.65253168612267,0.752,0.276,0.0108390990006518,"17","Atad5"
3.41355988064235e-07,1.61101683023436,0.973,0.655,0.0110206780746538,"17","Aff1"
3.55317477230347e-07,1.42694396197039,0.897,0.512,0.0114714247523818,"17","Prelid1"
3.57834270041508e-07,1.33345350496261,0.75,0.335,0.0115526794082901,"17","Rnaseh2b"
3.67371790352869e-07,2.33940546571468,0.758,0.181,0.0118605982515424,"17","Slc16a1"
3.81130019167373e-07,4.47433518204066,0.525,0.03,0.0123047826688186,"17","Mxd3"
3.81130019167373e-07,4.57691876193276,0.465,0.01,0.0123047826688186,"17","Gm12158"
3.81130019167373e-07,5.62371950942956,0.419,0.016,0.0123047826688186,"17","Sdk1"
3.81130019167373e-07,5.73484537531702,0.316,0.007,0.0123047826688186,"17","Alpl"
3.83754716398114e-07,2.13569495243279,0.61,0.185,0.0123895210189131,"17","Gsn"
3.89932260579636e-07,1.18762352886193,0.905,0.481,0.0125889630328135,"17","Psmd13"
3.93992980506212e-07,1.79655242382675,0.678,0.244,0.0127200633756431,"17","Lxn"
3.95372177119396e-07,3.4121445865853,0.554,0.061,0.0127645907382997,"17","Kifc1"
4.04726688600067e-07,1.77450395719017,0.767,0.264,0.0130666011414532,"17","Slc43a3"
