"","mutant_1","mutant_2","mutant_3","mutant_4","wt_1","wt_2","wt_3","wt_4"
"Sox6os",0,0,0,0,0,4,2,6
"1110004F10Rik",4872,4746,3456,2601,6842,7930,8153,5996
"1700003G18Rik",8,20,10,4,25,29,24,10
"Plekha7",328,397,349,192,750,819,842,725
"Gm44867",0,0,1,1,2,8,5,2
"Rps13",117960,119602,80649,58457,166031,199503,206021,158128
"Gm44777",321,419,289,204,557,621,635,484
"Pik3c2a",1538,1718,1179,1013,3783,3904,4381,3092
"AV356131",20,21,24,19,42,66,49,35
"Nucb2",383,389,380,366,896,1119,1064,772
"Gm45151",4,3,5,3,11,14,10,6
"4732496C06Rik",13,2,8,7,25,45,30,27
"Gm39075",0,0,0,0,0,0,1,0
"Xylt1",4529,5029,3609,2873,7428,8133,9439,6937
"Rps15a",132183,137230,95761,71083,186050,211639,224018,162608
"Arl6ip1",10534,10812,7736,5517,16810,20171,20003,15158
"Smg1",8270,8294,5679,4402,14819,15828,16925,12659
"4930583K01Rik",3,6,2,2,12,7,6,4
"Gm45155",11,7,16,11,31,28,22,19
"Gm35309",0,0,0,0,0,0,0,0
"Syt17",0,0,0,0,3,3,0,0
"Itpripl2",464,437,362,304,1033,1197,1175,996
"Coq7",936,882,674,410,1031,1533,1391,1196
"Tmc7",8,8,16,10,30,22,35,21
"B230311B06Rik",0,0,1,0,0,0,0,0
"Tmc5",5,4,5,7,3,1,11,8
"Gde1",1288,1271,888,671,1833,2159,2101,1604
"Ccp110",420,459,341,207,622,887,925,707
"Vps35l",1940,2072,1484,1154,3646,3845,4488,3238
"Gm44549",6,7,10,2,17,16,17,11
"Knop1",2496,2598,1904,1327,3885,4475,4510,3118
"Iqck",152,182,131,83,269,305,334,261
"Gm44763",15,23,21,12,31,27,35,20
"Gprc5b",479,530,342,297,876,754,941,683
"Gpr139",0,0,0,0,0,1,0,0
"Gp2",0,0,0,0,0,0,0,0
"Umod",0,0,0,1,0,1,0,0
"Gm44588",0,0,0,0,0,0,0,0
"Pdilt",1,0,0,1,0,0,1,1
"Gm26967",0,0,0,0,0,0,0,0
"Acsm5",0,0,0,0,0,0,0,0
"Acsm2",0,0,0,0,0,0,0,1
"Gm39078",0,0,0,0,0,0,0,0
"Acsm1",0,0,0,0,1,0,1,0
"Gm19950",0,0,0,0,0,0,0,0
"Gm45792",1,0,0,2,1,1,4,2
"Acsm4",0,0,1,0,1,2,1,0
"Thumpd1",2060,2004,1438,967,3214,3833,3692,2734
"Gm44866",0,0,0,0,0,0,0,0
"Acsm3",2,6,4,4,6,9,9,7
"Eri2",401,413,275,204,596,690,789,632
"Rexo5",542,616,413,323,982,961,1196,798
