"","mutant_1","mutant_2","mutant_3","mutant_4","wt_1","wt_2","wt_3","wt_4"
"Kdm4b",1006,979,714,600,1840,1751,2015,1508
"Ptprs",2531,2418,1668,1140,3547,4286,4448,3321
"Znrf4",0,0,0,0,0,0,0,0
"Gm20219",17,12,9,8,33,31,39,27
"Safb2",3902,4000,2691,2004,7051,7600,8014,5745
"Safb",3207,3584,2321,1706,5539,6288,6239,4687
"Micos13",5635,5738,4232,2982,7493,9758,9514,7028
"Rpl36",76977,78261,57754,43646,112807,122961,131743,90361
"Lonp1",1060,1170,773,539,1682,2061,2039,1657
"Catsperd",64,49,39,53,99,118,95,71
"Ranbp3",1379,1400,922,715,1992,2572,2663,2082
"Vmac",272,296,178,183,460,445,586,379
"Ndufa11",3979,4146,3080,2083,5374,7128,6994,5307
"Nrtn",35,34,19,13,38,67,39,46
"Dus3l",855,932,569,497,1334,1437,1592,1134
"Prr22",18,27,12,8,29,32,29,25
"Rfx2",631,705,445,303,973,1120,1108,987
"Acsbg2",7,5,6,2,12,14,11,7
"1700061G19Rik",79,104,65,43,182,179,166,148
"Mllt1",1008,932,604,429,1377,1769,1946,1407
"Acer1",0,3,2,2,1,3,2,1
"Gm49887",19,11,11,11,15,12,13,12
"Clpp",2455,2488,1775,1297,3324,4056,4088,3158
"Alkbh7",830,852,588,410,1167,1456,1470,1130
"Pspn",0,2,0,1,1,0,0,1
"Gtf2f1",1777,1856,1257,930,2583,3264,3039,2250
"Gm17949",86,98,56,58,123,113,168,102
"Khsrp",3069,3174,2083,1452,4562,5626,5673,4354
"Slc25a41",6,8,1,0,9,8,17,8
"Gm17168",4,8,2,0,27,13,17,8
"Slc25a23",837,885,620,420,1388,1500,1549,1143
"Crb3",58,53,49,46,119,112,133,93
"Dennd1c",1504,1416,968,974,3553,2924,3491,2674
"Gm49888",0,1,1,0,3,1,1,6
"Tubb4a",46,40,16,13,83,84,97,42
"Gm11110",706,764,542,430,1185,1226,1280,986
"Tnfsf9",123,168,86,71,182,254,213,179
"Cd70",0,0,0,1,2,3,3,1
"Tnfsf14",311,331,190,177,464,553,556,415
"C3",938,526,450,551,1693,1661,2203,2669
"Gpr108",984,955,690,500,1421,1645,1828,1388
"Trip10",320,341,230,155,510,533,550,482
"Vav1",4610,4768,3305,2608,8066,8454,9413,7138
"Adgre1",204,217,128,264,1644,2125,1688,1067
"Vmn2r120",3,4,2,6,9,10,4,3
"Gm21834",0,0,0,0,0,0,0,0
"Cntnap5c",6,9,5,3,12,17,14,12
"A330072L02Rik",1,0,1,0,4,3,3,2
"Pdzph1",59,42,73,35,139,218,296,207
"Nudt12os",6,9,7,6,22,26,25,12
"Nudt12",380,331,249,171,625,586,757,505
"Gm49853",12,2,3,7,15,14,19,8
"Gm29051",1,3,1,2,4,1,4,3
"Gm33890",0,0,0,0,0,0,0,0
"Gm49860",1,0,0,1,1,1,1,0
"Efna5",90,89,92,54,62,36,73,42
"Fbxl17",14347,14743,10691,8197,26002,27559,31192,23035
"4930405O22Rik",3,11,4,4,7,13,18,10
"Fer",1155,1198,853,718,2504,2819,3011,2308
"A930002H24Rik",0,0,0,0,0,0,1,0
"Pja2",2733,2719,1750,1555,4938,4878,5587,4190
"AU016765",0,0,0,0,1,1,1,0
"Man2a1",3241,3319,2528,2018,6197,6862,7534,5765
"Gm17133",9,12,4,7,25,29,38,10
"Dreh",0,0,0,0,0,0,0,0
"4930583I09Rik",0,0,0,0,0,0,0,0
"Tmem232",17,15,16,8,22,27,28,26
"Vapa",7878,7595,5667,4095,11989,13943,14334,10915
"Txndc2",1,1,0,0,1,1,0,2
"Rab31",4311,4598,3165,2404,7315,7659,8627,6135
"Ppp4r1",2974,3152,2090,1554,5024,5566,5989,4523
"Ralbp1",5712,6208,4141,3039,9676,11080,11611,8625
"Gm49870",90,95,68,60,178,120,206,146
"Gm49871",153,166,107,96,239,234,271,199
"Gm35550",17,25,10,11,30,29,32,30
"Twsg1",922,938,650,498,1457,1781,1743,1413
"Ankrd12",7809,7955,5799,4575,13976,13941,15707,12232
"Ndufv2",6068,6250,4330,3178,7822,9687,9927,7523
"Washc1",1033,998,685,532,1650,1729,1808,1431
"Ddx11",925,971,670,440,1467,1704,1664,1338
"Gm20742",0,0,0,0,0,0,0,0
"Gm49932",1,2,2,0,4,4,4,5
"Mtcl1",21,6,10,12,32,24,47,18
"Gm49937",1,0,0,0,1,0,0,0
"Rab12",2081,2144,1466,1180,3559,3785,4214,2947
"Gm49938",0,0,0,0,0,0,0,0
"Themis3",0,0,0,0,0,3,0,0
"Ptprm",410,375,265,296,1865,1722,2182,1153
"1700016K05Rik",4,1,0,2,9,4,4,5
"Gm47471",0,0,0,0,2,1,1,0
"Gm9984",1,0,3,1,4,2,4,2
"Gm36201",1,0,0,0,3,3,5,1
"Lrrc30",0,0,1,0,0,1,1,0
"Lama1",7,2,1,1,5,8,8,3
"Arhgap28",965,1217,921,745,2313,2290,2540,1886
"Gm49944",4,1,1,1,0,5,8,4
"Gm49945",0,0,0,0,0,0,2,1
"Gm36252",0,0,0,0,0,0,0,0
"L3mbtl4",3,8,1,2,13,5,6,7
"Tmem200c",0,0,0,0,0,0,0,1
"Gm38593",0,0,0,0,0,0,0,0
"Epb41l3",853,923,620,454,2345,2911,2790,2311
"2410021H03Rik",3,4,1,3,20,12,12,5
"Gm36487",0,2,0,0,2,1,0,2
"Gm49894",8,6,15,8,16,14,13,16
"Zbtb14",738,817,575,411,1198,1466,1630,1279
"A930029G22Rik",251,210,142,100,423,411,511,345
"C030034I22Rik",518,608,398,330,1051,981,1103,759
"Akain1",0,1,0,1,3,1,0,1
"A730049N16Rik",0,0,0,0,0,0,0,0
"Gm49895",0,0,0,0,0,0,0,0
"Gm36594",0,0,0,0,0,0,0,0
"Dlgap1",44,76,25,30,90,71,85,51
"5031415H12Rik",0,1,0,1,1,1,1,0
"Gm41609",33,18,27,18,55,44,27,20
"Gm20703",8,2,2,3,8,11,11,8
"Tgif1",1572,1454,997,814,2262,2314,2722,2158
"Gm26510",3596,4270,2935,2399,7061,6739,7884,5430
"Gm41611",11,26,16,11,19,37,32,27
"Myl12b",12449,12664,8735,7152,16798,18892,19756,15707
"Myl12a",5343,5207,3710,2963,6959,8329,9096,7157
"Myom1",90,92,93,49,282,207,310,201
"1600022D10Rik",8,4,8,9,15,12,17,5
"Lpin2",5341,5274,3702,2788,9752,10628,11313,8111
"Emilin2",192,183,218,154,474,614,566,495
"4930471L23Rik",0,2,1,2,4,4,2,3
"Gm4566",16,10,8,5,15,12,27,17
"Smchd1",7989,8353,5685,4079,12510,15215,15384,11979
"Gm4707",181,181,124,93,234,266,285,227
"Ndc80",1115,1357,866,499,1339,1963,1989,1734
"Spdya",20,26,22,13,70,59,88,56
"Trmt61b",1196,1113,803,579,1832,2113,2074,1491
"Gm30091",32,41,26,23,68,65,81,56
"Wdr43",5041,4929,3462,2484,7288,9155,8753,6350
"Togaram2",2,2,7,8,10,6,7,2
"Gm15641",0,0,0,0,0,0,0,0
"Pcare",0,0,0,0,0,0,1,0
"Clip4",84,88,79,41,94,97,93,74
"Alk",37,45,28,47,56,64,111,44
"Ypel5",1183,1119,831,746,2093,2047,2479,1915
"Lbh",1179,1294,839,818,2315,2802,2828,2036
"Gm30420",0,0,0,0,0,0,0,0
"Lclat1",1757,1855,1271,937,3027,3442,3706,2802
"E330032C10Rik",1,0,1,2,6,7,13,6
"Capn13",4,0,1,2,1,3,1,2
"Galnt14",9,16,8,3,12,23,34,14
"Gm49876",1,0,0,0,0,1,1,0
"Gm49878",0,0,0,1,0,1,1,0
"D630014O11Rik",0,0,0,0,0,0,0,0
"Ehd3",66,98,78,49,264,268,288,213
"Xdh",190,153,160,157,678,573,708,625
"Srd5a2",0,6,0,3,2,2,1,2
"Gm31084",0,1,0,0,2,1,5,3
"Memo1",5743,6223,4377,2980,9401,11325,11639,8826
"Dpy30",4444,4536,3325,2162,5368,7660,7366,5945
"Spast",2955,3112,2298,1682,5013,5756,6152,4523
"Slc30a6",820,1042,613,490,1309,1393,1462,1024
"Nlrc4",135,160,110,88,413,441,542,408
"Yipf4",2588,2681,1871,1415,3834,4079,4627,3499
"Gm31645",445,535,318,302,1035,917,1033,691
"Birc6",11741,11947,8211,6402,19870,22213,23116,17250
"Gm26749",564,560,386,339,1286,1013,1072,697
"Ttc27",2558,2495,1816,1311,3899,4520,4467,3471
"Gm50020",119,126,86,65,256,262,208,187
"Gm50021",11,7,6,6,24,24,13,12
"Gm31759",1,0,1,0,0,2,0,1
"Gm31818",1,0,0,1,1,0,1,1
"Ltbp1",67,50,63,44,120,150,211,111
"Rasgrp3",445,453,463,492,793,1118,1040,846
"Fam98a",1248,1325,877,608,2169,2629,2454,1868
"Gm4710",0,0,0,0,0,0,0,0
"Gm50028",0,1,0,0,0,0,0,1
"Gm32282",39,30,26,20,60,33,54,41
"Crim1",4263,4188,2971,2339,6294,6373,6941,5866
"Fez2",918,912,636,517,1521,1603,1673,1203
"Gm50034",10,10,10,6,24,21,24,12
"Vit",112,151,74,48,146,125,141,62
"Strn",2196,2445,1587,1187,4085,4114,4598,3617
"Heatr5b",1388,1526,1043,719,2626,2648,2867,2124
"Gpatch11",979,1006,683,457,1603,1709,1739,1303
"Eif2ak2",3888,4086,2610,1961,7011,8097,8069,6048
"Sult6b1",103,121,87,60,192,176,182,135
"Cebpzos",1282,1302,901,653,1868,2249,2375,1715
"Cebpz",5084,4682,3528,2553,7956,9301,9254,6624
"Ndufaf7",1105,1235,770,625,1732,1956,2112,1594
"Prkd3",3116,3280,2219,1707,5625,6318,6797,4896
"Qpct",85,59,42,59,136,131,128,83
"Cdc42ep3",3669,3762,2442,1965,5764,5603,6979,5319
"Rmdn2",448,494,321,263,878,863,1007,709
"Cyp1b1",1,1,0,0,1,0,0,1
"Gm33055",0,0,0,0,0,0,0,0
"Gm49984",0,0,0,0,0,0,0,0
"1700106O07Rik",0,0,0,0,0,0,0,0
"Gm49985",0,0,0,0,0,0,0,0
"Atl2",1443,1457,953,711,2288,2341,2627,2234
"Gm41625",3,7,6,6,27,8,25,13
"Hnrnpll",2105,2225,1549,1100,3139,3847,4116,3341
"Galm",569,640,487,429,1205,1112,1331,984
"Srsf7",16390,16627,11622,7763,18253,22740,22733,17764
"Ttc39d",27,32,17,30,61,44,55,44
"Gemin6",903,846,592,355,959,1423,1226,1047
"Dhx57",1787,2018,1355,1150,3428,3374,3777,2579
"Gm50087",14,12,7,4,23,23,17,14
"Morn2",1045,1158,727,530,1442,1621,1674,1172
"Arhgef33",52,54,47,34,118,94,128,79
"Gm10190",1,0,0,0,0,1,2,0
"Sos1",3235,3477,2331,1815,5759,6208,6650,5174
"Cdkl4",86,106,64,54,205,150,216,156
"Gm33373",84,94,62,45,119,139,116,102
"Map4k3",3268,3223,2099,1677,5218,5306,5686,4375
"C230072F16Rik",1,0,3,1,3,3,4,1
"Tmem178",3,2,2,6,18,20,15,13
"Thumpd2",1093,1203,821,655,1808,1928,2050,1490
"Gm50044",0,0,1,0,0,1,0,1
"Slc8a1",5942,6425,4927,3810,14237,14452,16793,13306
"Gm11096",0,0,0,0,0,0,0,0
"Gm19689",0,0,0,0,2,1,0,0
"Gm29052",0,0,0,0,0,0,0,0
"Gm46606",0,1,2,0,3,3,1,1
"Pkdcc",45,38,26,16,37,74,65,42
"Eml4",10711,11134,7218,5487,16380,18668,19078,14007
"Cox7a2l",14850,15539,10556,8197,23216,24183,27006,21413
"Kcng3",35,15,5,3,22,29,36,22
"Mta3",5805,6362,3933,3214,8501,8949,9885,6890
"Haao",833,806,500,412,1102,1216,1331,915
"C430042M11Rik",45,42,25,30,53,56,62,51
"1810073O08Rik",523,529,419,383,984,989,957,706
"Gm41639",21,29,30,19,73,81,86,69
"Gm35229",36,23,19,26,82,63,83,50
"Gm41638",4,4,4,2,15,8,6,4
"8430430B14Rik",354,323,182,158,474,442,469,346
"Gm35551",669,808,569,496,1354,1398,1495,1207
"Gm49967",4,5,6,3,12,5,12,5
"4933433H22Rik",12,8,9,7,16,17,17,8
"Gm19696",105,111,73,73,144,142,158,108
"Zfp36l2",22993,22613,14909,11298,37775,40761,42807,34445
"Gm36279",453,466,324,277,765,697,942,603
"Thada",6025,5993,4293,3145,9949,11919,12107,9157
"Plekhh2",1,2,1,1,2,7,8,5
"4930500A05Rik",1,0,0,0,3,1,2,2
"Gm49969",5,2,0,11,3,5,10,2
"Dync2li1",435,528,291,268,634,695,722,534
"Abcg5",1,0,0,0,0,0,0,1
"Abcg8",0,0,0,0,1,0,0,0
"Lrpprc",2616,2538,1905,1284,4054,4900,4939,3679
"Gm49981",0,1,0,0,0,0,0,0
"1110020A21Rik",101,107,56,67,156,147,180,137
"Ppm1b",3557,3770,2586,1913,5669,5867,6679,4885
"Slc3a1",32,35,21,19,73,50,78,52
"Prepl",693,782,525,388,1252,1384,1436,1060
"Camkmt",4369,4946,3530,2831,7930,8463,9170,6908
"Six3os1",0,0,0,0,0,0,0,0
"Six3",3,1,0,1,2,5,7,5
"Gm28528",1,0,0,0,0,0,0,0
"Six2",0,0,0,0,0,0,0,0
"CJ186046Rik",0,1,0,0,1,0,0,0
"Gm29418",2,2,1,0,3,7,2,1
"Gm30117",2,5,3,0,6,5,5,15
"Srbd1",3181,3426,2514,1901,5490,6208,6592,4728
"Prkce",12581,12816,9283,7008,21370,24021,26874,20057
"2010106C02Rik",4,1,3,1,5,1,9,4
"Gm10309",15,19,9,12,38,43,34,27
"Epas1",60,28,48,35,60,66,76,61
"Gm29168",0,0,0,0,0,0,0,0
"Tmem247",0,0,0,0,0,0,0,0
"Gm50011",5,1,1,1,2,2,1,1
"Atp6v1e2",0,0,0,0,0,0,0,0
"Rhoq",2104,2162,1462,1130,3851,3901,4317,3289
"Gm50012",126,114,93,77,252,221,261,176
"Pigf",779,766,535,389,1073,1346,1305,1036
"Cript",3218,3083,2137,1626,4484,5213,5308,4247
"Socs5",2370,2419,1583,1281,4139,4555,4969,3902
"C330024C12Rik",0,1,0,0,0,0,1,0
"Mcfd2",1555,1519,1090,881,2672,3326,3177,2544
"4833418N02Rik",420,371,219,208,700,590,659,498
"Ttc7",3177,3267,2185,1685,5195,6178,6447,5221
"Gm15978",12,20,8,7,29,25,20,16
"0610012D04Rik",11,7,3,2,14,8,16,9
"Stpg4",14,17,10,10,29,20,22,19
"Calm2",17200,17611,12160,8978,25713,29110,31108,24010
"Gm30794",0,0,0,2,1,3,0,1
"Gm30938",0,0,0,0,2,0,1,0
"Gm28676",0,0,0,1,1,0,1,0
"Gm30984",0,2,0,1,0,0,1,2
"Gm46587",1,0,0,0,0,0,1,0
"Epcam",240,220,259,295,380,522,520,421
"Msh2",3357,3635,2480,1585,4867,6212,6105,4607
"Kcnk12",3156,3514,2291,1730,5284,5688,6283,4269
"Gm50039",3,3,1,1,6,4,8,3
"Rpl36-ps4",1,1,0,0,0,0,1,0
"Msh6",2026,2028,1302,825,2495,3577,3481,2894
"Fbxo11",8032,8430,6033,4603,14509,14476,16525,12237
"Gm26612",0,0,0,0,6,2,3,2
"Gm31499",1,2,2,4,4,10,7,3
"Gm31615",13,7,3,3,10,6,24,9
"1700116H05Rik",0,0,0,0,0,0,0,0
"Foxn2",2203,2217,1508,1009,3161,4073,4134,3153
"Ppp1r21",1677,1868,1350,1114,3100,3390,3824,2778
"Ston1",19,25,22,30,46,62,57,48
"Gm50056",0,0,0,0,0,1,1,2
"Gtf2a1l",4,3,3,1,9,9,4,4
"Lhcgr",808,910,798,777,2542,2418,2609,2044
"Fshr",13,23,12,14,29,15,36,19
"4933400B14Rik",0,0,0,0,0,0,0,0
"Gm4719",0,0,0,0,0,0,0,0
"Gm50061",1,2,0,0,5,10,10,0
"Gm10184",32,37,20,21,38,59,40,43
"Gm41653",0,1,0,0,0,0,0,1
"Nrxn1",61708,66846,46874,38510,131531,119967,145286,108112
"4930480K15Rik",148,190,145,111,488,313,391,230
"Gm10308",0,0,0,0,0,0,0,0
"Gm15404",3,3,1,2,2,3,3,3
"Gm49991",0,0,0,0,1,0,0,0
"Gm41654",2,0,1,0,1,3,1,1
"Adcyap1",2,4,0,0,6,1,5,1
"Mettl4",958,1017,722,572,1494,1881,1989,1397
"Gm1976",1901,2098,1465,1031,3371,3500,3989,2700
"Gm20939",247,248,187,143,406,436,477,365
"Vmn1r238",0,0,0,0,0,0,0,0
"Crem",1275,991,676,549,1482,1451,1647,1278
"Gm6225",308,234,165,110,420,429,554,332
"Cul2",1757,1930,1266,950,3102,3488,3584,2581
"Bambi",205,184,144,103,218,264,282,201
"Lyzl1",0,0,0,0,1,0,1,1
"Map3k8",761,633,492,414,1072,1066,1054,744
"4833419F23Rik",71,78,46,45,115,93,96,77
"Gm26865",3,4,1,3,4,5,6,2
"Mtpap",1953,2086,1466,1059,2887,3251,3498,2644
"Gm50023",27,41,21,23,78,56,75,59
"Gm50024",0,0,0,0,0,0,0,0
"Jcad",123,150,115,54,229,250,257,195
"Gm10556",0,0,1,0,0,0,3,0
"Svil",5668,6069,4172,3312,10717,11079,12166,9557
"Gm26682",4,3,1,4,5,5,5,6
"Zfp438",1775,1832,1212,1044,3088,3397,3697,2679
"Gm50064",1,0,1,1,1,1,3,1
"Gm50065",0,0,1,0,0,0,1,1
"Gm10125",377,368,250,221,640,637,763,492
"Gm26575",19,13,10,14,11,26,34,16
"Zeb1",15517,16456,11655,9066,27352,28323,31666,22686
"Gm34804",8,1,3,2,2,2,9,1
"Arhgap12",1823,2035,1498,1260,3629,3600,4165,2973
"Kif5b",6457,6722,4645,3610,11282,13027,13381,10362
"Gm17036",123,141,104,71,326,222,253,170
"Gm41664",65,72,31,36,104,76,99,73
"Epc1",5469,5692,3873,3141,9636,9746,10959,7803
"Gm28529",281,333,236,179,470,432,531,395
"4921524L21Rik",2,1,1,1,2,1,1,1
"Rab18",2819,2729,1948,1594,4512,4814,5046,3795
"Gm50081",0,0,0,0,0,0,1,0
"Gm2350",0,0,0,1,0,2,1,0
"Mkx",4,1,0,1,10,6,8,3
"Gm46633",0,0,0,0,0,0,0,0
"Armc4",11,2,1,4,12,9,5,10
"Mpp7",6074,5605,3625,2839,10602,10268,11461,8799
"Gm9993",666,737,453,373,1167,1119,1242,899
"Wac",7555,8027,5413,4323,13349,14370,15539,11583
"Gm35031",2,1,2,4,7,2,4,5
"Fzd8",97,100,60,34,174,154,178,152
"Gjd4",0,0,0,0,0,0,0,1
"Ccny",5983,6078,4191,3263,9769,10640,11669,8552
"Cetn1",0,0,0,0,0,0,0,0
"Colec12",6,40,6,23,37,63,45,27
"Thoc1",2723,2635,1847,1346,4230,4523,4642,3639
"Usp14",3596,3695,2695,1940,5268,6103,6151,4723
"Rock1",13349,13653,9385,7048,22401,23722,25856,19904
"Greb1l",69,69,46,37,114,136,133,97
"Esco1",2989,3268,2301,1784,5807,5778,6304,4659
"Snrpd1",10297,10096,7697,4666,11699,17611,16115,12462
"Abhd3",22,17,16,12,33,58,46,29
"4930563E18Rik",2,0,1,1,5,0,4,2
"Mib1",5154,4944,3435,2592,7812,9035,9527,7323
"Mir133a-1hg",155,164,120,87,454,363,387,259
"1010001N08Rik",1,1,0,0,1,2,2,1
"Gata6",0,1,0,1,1,1,0,0
"Rbbp8",2571,2824,1862,1257,4105,5042,4905,3984
"Gm50069",161,168,105,83,315,336,325,227
"Gm6277",138,137,108,71,233,256,282,179
"Cables1",1218,1019,735,547,1843,1815,2142,1669
"Tmem241",1136,1197,872,625,2203,2390,2594,1742
"Riok3",4557,4781,3285,2585,7845,8462,9470,7061
"Rmc1",941,819,525,422,1400,1413,1559,1160
"Npc1",1948,2163,1380,1071,3958,3912,4334,2608
"Gm15956",29,36,22,18,53,40,57,31
"Ankrd29",158,171,118,98,274,330,328,244
"Lama3",36,58,31,40,157,93,158,92
"Gm29200",0,0,0,0,1,0,0,0
"Ttc39c",307,284,230,149,438,561,559,457
"Gm50063",0,0,1,0,3,6,1,2
"Gm41668",0,0,0,0,0,0,0,0
"Cabyr",96,104,90,46,304,213,242,142
"Osbpl1a",5655,6335,4391,3319,11814,11072,12847,9029
"Gm49970",96,131,76,82,311,234,261,208
"Impact",2949,2843,1988,1498,5383,5420,6068,4289
"Hrh4",0,1,1,0,5,6,3,2
"Gm41669",1,0,0,0,0,0,0,1
"AC103362.1",1,3,5,2,8,7,5,7
"Zfp521",6161,6139,4743,3563,10641,10784,12389,9170
"8430422H06Rik",3,8,2,12,22,14,15,16
"Gm29992",0,3,0,0,0,0,0,0
"Gm50097",0,0,0,0,0,0,0,0
"Ss18",5027,5096,3365,2517,7505,8401,9034,7040
"Psma8",290,364,280,187,542,720,651,493
"Taf4b",1005,976,715,475,1495,1846,1878,1414
"Kctd1",9841,10486,7006,5365,15915,17164,20308,15008
"4933424G05Rik",471,553,369,272,1085,925,925,632
"Gm2629",763,796,503,425,1227,1267,1602,1116
"Gm50035",169,201,119,75,252,253,308,238
"E430002N23Rik",311,348,223,222,545,429,567,432
"A830021F12Rik",0,3,1,0,1,2,2,1
"Aqp4",0,1,1,1,2,0,0,1
"Gm50048",2,3,1,3,7,9,7,6
"Chst9",5,1,6,1,8,14,7,4
"Gm50076",0,0,0,0,1,0,0,0
"Cdh2",80,86,60,52,82,129,84,94
"Gm15485",0,0,0,0,0,0,0,0
"Gm15328",0,0,0,0,0,0,0,1
"1700001G01Rik",1,0,0,0,2,1,1,1
"4930545E07Rik",0,0,0,0,0,0,1,0
"Gm50084",1,1,1,0,1,4,2,0
"Gm31086",0,0,0,0,0,0,1,1
"Dsc3",0,2,0,0,1,1,0,0
"Dsc2",3,2,2,4,8,7,13,7
"Dsc1",2,2,1,0,1,2,2,1
"Dsg1c",0,0,0,0,1,1,1,0
"Dsg1a",0,0,0,0,0,1,0,0
"Dsg1b",0,0,0,0,0,1,0,0
"Dsg4",0,0,0,0,0,0,1,1
"Dsg3",2,2,1,1,2,0,2,0
"Dsg2",45,56,38,40,113,137,138,114
"Gm16090",0,5,2,2,0,4,2,2
"Ttr",0,0,0,0,0,0,0,0
"B4galt6",1807,2071,1560,1289,3614,3522,4132,3366
"Trappc8",3453,3625,2460,1924,6387,6647,7456,5480
"Rnf125",963,809,675,492,1437,1257,1335,1133
"Rnf138",3896,3678,2538,1999,5626,5970,6558,4858
"Mep1b",0,0,0,0,0,1,0,1
"Garem1",190,161,153,138,365,456,481,448
"Gm50049",0,0,0,0,0,1,0,0
"Klhl14",81,102,82,58,243,154,322,316
"4930426D05Rik",15,14,15,5,48,25,56,31
"Ccdc178",0,2,0,1,7,7,5,5
"Asxl3",7,12,8,13,46,34,40,31
"Nol4",54,63,34,27,70,71,83,50
"Dtna",289,286,208,103,65,62,72,35
"Gm47898",1,0,0,0,0,0,0,0
"Gm15972",55,56,32,32,85,48,91,70
"Mapre2",3931,3848,2618,2032,5850,6222,7087,5108
"Zfp397",2640,2994,1933,1452,4176,4566,4802,3597
"Zfp35",648,760,512,342,979,1188,1226,910
"Zfp24",1818,1910,1184,885,2789,3025,3236,2322
"Ino80c",606,604,450,353,997,1205,1178,953
"Galnt1",6641,6878,4907,3516,11341,12900,13532,9988
"Gm38410",19,17,7,11,12,16,16,17
"2700062C07Rik",576,616,445,343,831,926,964,710
"Rprd1a",2047,2319,1528,1226,3639,3897,4315,3041
"Slc39a6",1402,1303,918,666,1762,2314,2262,1757
"Elp2",1701,1819,1202,871,2592,3000,3125,2281
"Mocos",115,75,53,66,210,228,244,213
"Fhod3",65,36,38,18,128,137,162,84
"Gm9955",0,0,0,0,0,0,0,0
"Tpgs2",644,647,496,347,1012,1111,1268,926
"AW554918",7431,8052,5335,4104,14973,15393,17391,12504
"Celf4",123,90,86,70,198,229,243,212
"Gm3227",1,0,2,2,5,2,2,2
"0710001A04Rik",0,0,0,0,0,0,0,0
"Gm50304",0,0,0,0,0,0,0,0
"Gm33228",0,3,1,1,0,1,3,1
"Gm49976",0,0,0,0,1,0,1,2
"Gm49978",0,0,0,0,0,0,0,0
"Gm33674",0,0,0,0,1,1,0,0
"BC051408",0,0,0,0,0,0,0,0
"Gm33948",1,0,0,1,1,2,4,0
"4930578E11Rik",0,0,1,1,2,1,2,1
"4930527G23Rik",0,0,1,0,0,0,0,0
"Gm49980",756,530,508,456,603,1330,1146,811
"Pik3c3",1585,1574,1159,944,2670,2891,3242,2298
"Rit2",5,2,1,0,4,6,2,2
"Syt4",0,1,0,0,0,0,0,0
"Gm26658",0,0,0,0,0,0,0,0
"Slc25a46",1434,1471,1051,804,2353,2610,2760,2058
"B930094E09Rik",10,7,6,5,16,9,26,11
"Sap130",2447,2494,1682,1404,4324,4658,5188,3711
"Ammecr1l",1481,1554,1046,825,2723,2962,3060,2182
"Gm26533",203,273,172,135,400,382,446,325
"Polr2d",1476,1475,1020,671,1961,2609,2403,1851
"Wdr33",9059,9618,6568,5070,14816,15699,17249,12708
"Sft2d3",718,720,492,370,1127,1186,1330,994
"Lims2",21,18,10,9,39,41,33,14
"Gpr17",0,0,0,0,0,0,0,0
"Myo7b",1,0,0,0,0,1,0,0
"Gm16344",0,0,0,0,1,1,0,1
"Iws1",3424,3470,2344,1737,5713,6278,6765,4903
"4933435E02Rik",0,0,0,0,0,3,5,2
"Proc",0,0,0,7,1,4,1,1
"Gm26717",0,2,0,0,0,0,0,0
"Map3k2",3265,3189,2223,1771,5681,5903,6451,4750
"Ercc3",648,653,423,383,1067,1224,1277,1045
"A830052D11Rik",1,3,3,1,6,12,7,2
"Bin1",1716,1935,1292,919,2206,2900,3255,2031
"Gm35060",2,1,1,1,2,4,4,2
"Gm44577",20,14,10,11,27,50,43,18
"Gypc",2135,2360,1560,1195,3655,3951,4485,3494
"Tslp",150,168,125,106,224,229,260,188
"Wdr36",2026,2051,1385,1056,3229,3824,3763,2834
"2310026I22Rik",1,4,1,0,1,1,0,0
"Camk4",179,199,135,153,166,181,233,156
"Stard4",1128,1248,896,598,2317,2701,2821,2327
"Nrep",16,16,16,13,17,27,24,25
"Gm10549",1,0,0,0,0,0,0,1
"Epb41l4aos",2693,2777,1937,1476,4444,4463,4965,3726
"Epb41l4a",243,222,177,126,418,414,409,330
"Gm50265",0,0,0,0,0,0,0,0
"Apc",6445,7309,4991,3797,12001,12558,13859,9682
"Srp19",3530,3658,2859,1956,5191,6685,6587,4911
"Reep5",5451,5605,4133,3239,9034,11882,11092,8833
"Pkd2l2",279,262,211,180,602,490,624,391
"Fam13b",4879,5274,3434,2809,8732,8842,10262,7470
"Wnt8a",0,0,0,0,0,0,0,0
"Nme5",9,5,13,7,37,20,21,14
"4933408B17Rik",186,258,174,112,430,353,461,297
"Brd8",4141,4497,2937,2346,6812,7648,8262,5762
"Kif20a",321,417,324,160,420,552,606,514
"Cdc23",1394,1443,1034,810,2287,2598,2680,2117
"Gfra3",0,2,5,1,1,4,2,2
"Cdc25c",165,239,187,86,268,344,358,318
"Gm3550",73,80,66,37,95,112,131,87
"2010110K18Rik",26,38,26,27,49,49,74,41
"Fam53c",720,750,526,385,1111,1402,1423,1197
"Kdm3b",5523,6037,4278,3176,9566,10099,11419,8376
"Reep2",22,51,29,15,93,80,66,55
"Egr1",1723,542,254,281,1904,1088,1782,1502
"Etf1",4324,3920,2671,1990,6172,7685,7613,6053
"Hspa9",6683,6297,4516,2993,8464,11548,10858,8390
"Gm36037",23,12,12,8,32,31,50,34
"Gm3587",0,0,0,1,1,0,1,0
"Ctnna1",2660,2866,1991,1579,4911,5400,5860,4418
"Lrrtm2",15,30,13,4,29,26,39,20
"Gm50146",2,8,5,2,17,10,7,10
"Sil1",4616,4570,3393,2636,8361,9325,10411,7103
"Gm50145",26,20,30,17,74,67,67,50
"Gm50149",6,17,6,7,25,22,18,8
